id,name,address,market,submarket,sale_date,class,units,year_built,sf,avg_sf,sale_price,cap_rate,ppu,psf,buyer,seller,notes,lat,lng
354,Lakeland Lofts,"280 Stonington Dr, Bloomingdale, IL",Chicago,Chicago Suburbs,2025-06-01,,90,2022.0,115380.0,1282.0,28350000.0,5.5,315000.0,245.71,Red Rock,NOAH Properties,,41.941917284231,-88.114019107834
355,Authentix,"3415 Blake Rd, McHenry, IL",Chicago,Chicago Suburbs,2025-05-07,,288,2022.0,259200.0,900.0,55300000.0,5.7,192014.0,213.35,Solomon Organization,Continental Properties,,42.358747766443,-88.26435811313
356,North Oak Lofts,"6533 W Palmer St, Chicago, IL",Chicago,Chicago Suburbs,2025-05-01,,237,2018.0,305493.0,1289.0,70000000.0,6.1,295359.0,229.14,FPA,NOAH Properties,,41.920308499639,-87.788460851386
357,Maple Street Lofts,"207 S Maple St, Mount Prospect, IL",Chicago,Chicago Suburbs,2025-04-01,,192,2021.0,148416.0,773.0,60050000.0,5.3,312760.0,404.61,TLC,Wingspan,,42.061594697215,-87.933867399544
358,Huntington,"6S511 Naper Blvd, Naperville, IL",Chicago,Chicago Suburbs,2025-02-01,,313,1970.0,273875.0,875.0,68000000.0,6.16,217252.0,248.29,FPA,Rockwell Partners,,41.775020462258,-88.109284322922
359,ReNew Downers Grove,"2845 Easton Street, Downers Grove, IL",Chicago,Chicago Suburbs,2025-02-01,,294,2009.0,292236.0,994.0,72000000.0,5.4,244898.0,246.38,Laramar Group,FPA,,41.835938799478,-88.031652271892
360,Haven Hoffman Estates,"725 W Bode Cir, Hoffman Estates, IL",Chicago,Chicago Suburbs,2025-01-01,,550,1970.0,410300.0,746.0,76800000.0,6.3,139636.0,187.18,Eastham / Bender,Tricap,,42.039729275782,-88.10166348918
361,Midpointe Apartments,"4050 W 115th St, Chicago, IL",Chicago,Chicago Suburbs,2024-12-24,,423,1973.0,316404.0,748.0,57000000.0,6.3,134752.0,180.15,Turner Impact Capital,Bridge Investment Group,,41.684006515634,-87.721077248181
362,Apex 41,"2760 S Highland Ave, Lombard, IL",Chicago,Chicago Suburbs,2024-12-31,,181,2017.0,170321.0,941.0,46000000.0,5.85,254144.0,270.08,Santeford,GlenStar Properties,,41.838173207033,-88.011259060602
363,E2,"1890 Maple Ave, Evanston, IL",Chicago,Chicago Suburbs,2024-12-31,,352,2015.0,281248.0,799.0,148000000.0,6.0,420455.0,526.23,Hines,Northwestern Mutual,,42.051986451575,-87.684810725348
364,Deer Valley Apartments,"30011 N Waukegan Rd, Lake Bluff, IL",Chicago,Chicago Suburbs,2024-12-31,,224,1989.0,200032.0,893.0,38000000.0,5.7,169643.0,189.97,Marquette Companies,Randolph Street RE,,42.298242783321,-87.88943590003
365,Wheaton 121,"121 N Cross St, Wheaton, IL",Chicago,Chicago Suburbs,2024-12-01,,306,2014.0,274176.0,896.0,101200000.0,5.25,330719.0,369.11,Inland,Connor Group,,41.865309176506,-88.105089732301
366,Ascend St. Charles,"100 Lakeside Dr, St. Charles, IL",Chicago,Chicago Suburbs,2024-11-01,,400,2000.0,387600.0,969.0,81050000.0,5.75,202625.0,209.11,Marquette/DRA Advisors,Broadshore,,41.919837879959,-88.278920057429
367,Northgate Crossing,"200 Hudson Ct, Wheeling, IL",Chicago,Chicago Suburbs,2024-11-01,,300,2016.0,285600.0,952.0,78500000.0,5.9,261667.0,274.86,F&F Realty,Azure,,42.14316838387258,-87.92818666887098
368,Covey at Fox Valley,"2160 Walcott Rd, Aurora, IL",Chicago,Chicago Suburbs,2024-11-01,,216,1988.0,204768.0,948.0,40800000.0,6.0,188889.0,199.25,Pensam,Laramar Group,,41.73344940557,-88.263655807912
369,Luna Park,"1800 Wedgewood Dr, Gurnee, IL",Chicago,Chicago Suburbs,2024-10-02,,198,1982.0,170082.0,859.0,31100000.0,6.0,157071.0,182.85,Highlands Vista Group,Laramar Group,,42.384491767913,-87.90963307781
370,Dash Downers Grove,"926 Maple Ave, Downers Grove, IL",Chicago,Chicago Suburbs,2024-10-01,,167,2023.0,144455.0,865.0,65000000.0,5.55,389222.0,449.97,Nuveen,Opus/Principal,,41.792109688384,-88.008094930017
371,Railway Plaza,"507 Railway Dr, Naperville, IL",Chicago,Chicago Suburbs,2024-10-01,,417,2000.0,440769.0,1057.0,109000000.0,5.6,261391.0,247.3,Abacus,Cantor Fitzgerald/BH Equities,,41.780527854349,-88.209313255103
372,Avant at the Arboretum,"450 Warrenville Rd, Lisle, IL",Chicago,Chicago Suburbs,2024-09-01,,310,2013.0,286440.0,924.0,77500000.0,5.6,250000.0,270.56,Waterton,JVM,,41.808190404758,-88.059979044594
373,Residence at the Links,"1245 Fordham Dr, Glendale Heights, IL",Chicago,Chicago Suburbs,2024-08-15,,298,1989.0,246744.0,828.0,26750000.0,,89765.0,108.41,Essence Development,Stonebridge,,41.90431894982,-88.093210426114
374,The Brook on Janes,"401 Janes Ave, Bolingbrook, IL",Chicago,Chicago Suburbs,2024-09-01,,298,2017.0,263730.0,885.0,69000000.0,5.9,231544.0,261.63,JRK,Quarterra,,41.710655221702,-88.039439379672
375,The Landing at Town Center,"1255 Town Center Rd, Vernon Hills, IL",Chicago,Chicago Suburbs,2024-08-01,,85,2010.0,105145.0,1237.0,27800000.0,,327059.0,264.4,Bender,FPA Multifamily,,42.20417481232,-87.936127713961
376,Vantage Oak Park,"150 Forest Ave, Oak Park, IL",Chicago,Chicago Suburbs,2024-07-31,,270,2016.0,240030.0,889.0,78250000.0,6.1,289815.0,326.0,FPA Multifamily,Magnolia/Goldman Sachs,,41.889414178963,-87.800117710976
377,The Emerson,"1135 Westgate St, Oak Park, IL",Chicago,Chicago Suburbs,2024-07-01,,270,2017.0,225450.0,835.0,60250000.0,6.3,223148.0,267.24,FPA Multifamily,Quarterra,,41.887817888466,-87.803436217657
378,Reserve at Hoffman Estates,"875 Pacific Ave, Hoffman Estates, IL",Chicago,Chicago Suburbs,2024-07-01,,642,1985.0,620172.0,966.0,102000000.0,6.9,158879.0,164.47,FPA Multifamily,InterCapital Group,,42.040509553394,-88.142082935271
379,Willow Crossing,"1031 Charlela Ln, Elk Grove Village, IL",Chicago,Chicago Suburbs,2024-06-20,,579,1977.0,486939.0,841.0,89250000.0,7.0,154145.0,183.29,RIG,JP Morgan,,41.996354571941,-88.0286724782
380,Orchard Village,"1240 W Indian Trail, Aurora, IL",Chicago,Chicago Suburbs,2024-05-01,,272,2000.0,233648.0,859.0,48245000.0,6.25,177371.0,206.49,MLG Capital,Sinatra & Company/Stadt Group,,41.78113108128,-88.344892171955
381,Sixteen 30,"14750 Wallin Dr, Plainfield, IL",Chicago,Chicago Suburbs,2024-04-01,,284,2021.0,298200.0,1050.0,78350000.0,5.9,275880.0,262.74,Continental,Wingspan,,41.606515404697,-88.221545269644
382,Light Road Apartments,"1800 Light Road, Oswego, IL",Chicago,Chicago Suburbs,2024-01-01,,168,1972.0,109368.0,651.0,22000000.0,6.9,130952.0,201.16,GB Holdings,Michael Pouliot,,41.7022466,-88.3597693
383,Centrum Evanston (The Scholar Apartments),"1590 Elmwood Ave, Evanston, IL",Chicago,Chicago Suburbs,2023-06-01,,101,2017.0,91405.0,905.0,44445000.0,4.79,440050.0,486.24,,,,42.046734345219,-87.684371014447
384,Stonebridge of Arlington Heights,"650 W Rand Rd, Arlington Heights, IL",Chicago,Chicago Suburbs,2023-01-01,,586,1973.0,629950.0,1075.0,131000000.0,5.5,223549.0,207.95,,,,42.11942922833,-87.99036951642
